(فا. من أَقَلَّ)	مُقِلٌّ-مُقِلٌّ، ةٌ 	
(فا. من أَقْلَقَ)	مُقْلِقٌ-مُقْلِقٌ، ةٌ 	
(فا. من أَقْمَرَ)	مُقْمِرٌ-مُقْمِرٌ، ةٌ 	
(فا. من أَقْنَعَ)	مُقْنِعٌ-مُقْنِعٌ، ةٌ 	
(فا. من أَكَبَّ)	مُكِبٌّ-مُكِبٌّ، ة 	
(فا. من أَكْثَرَ)	مُكْثِرٌ-مُكْثِرٌ، ةٌ 	
(فا. من أَكَّدَ)	مُؤَكِّدٌ-مُؤَكِّدٌ، ةٌ 	
(فا. من أَكْرَهَ)	مُكْرِهٌ-مُكْرِهٌ، ةٌ 	
(فا. من أَلْحَدَ).	مُلْحِدٌ-مُلْحِدٌ، ةٌ 	
(فا. من أَلْحَمَ)	مُلْحِمٌ-مُلْحِمٌ، ةٌ 	
(فا. من أَلْزَمَ)	مُلْزِمٌ-مُلْزِمٌ، ةٌ 	
(فا. من أَلْسَنَ)	مُلْسِنٌ-مُلْسِنٌ، ةٌ 	
(فا. من أَلَّفَ)	مُؤَلِّفٌ-مُؤَلِّفٌ، ةٌ 	
(فا. من أَلْقَى)	مُلْقِي-مُلْقِي، مُلْقٍ، ةٌ 	
(فا. من أَلَمَّ)	مُلِمٌّ-مُلِمٌّ، ةٌ 	
(فا. من أَمَاتَ)	مُمِيتٌ-مُمِيتٌ، ةٌ 	
(فا. من أَمْتَعَ)	مُمْتِعٌ-مُمْتِعٌ، ةٌ 	
(فَا. من أمر)	آمِرٌ-آمِرٌ، ة 	
(فا. من أَمْسَكَ)	مُمْسِكٌ-مُمْسِكٌ، ةٌ 	
(فا. من أَمْطَرَ)	مُمْطِرٌ-مُمْطِرٌ، ةٌ 	
(فا. من أَمْعَنَ)	مُمْعِنٌ-مُمْعِنٌ، ةٌ 	
(فا. من أَمْكَنَ)	مُمْكِنٌ-مُمْكِنٌ، ة 	
(فا. من أَمَلَّ)	مُمِلٌّ-مُمِلٌّ، ةٌ 	
(فَا. منْ أمِنَ)	آمِنٌ-آمِنٌ، ةٌ 	
(فا. من أَنَابَ)	مُنِيبٌ-مُنِيبٌ، ةٌ 	
(فا. من أَنَارَ)	مُنِيرٌ-مُنِيرٌ، ةٌ 	
(فا. من أَنَافَ)	مُنِيفٌ-مُنِيفٌ، ةٌ 	
(فا. من أَنْتَجَ)	مُنْتِجٌ-مُنْتِجٌ، ةٌ 	
(فا. من أَنْتَنَ)	مُنْتِنٌ-مُنْتِنٌ، ةٌ 	
(فا. مِن أَنْجَبَ)	مُنْجِبٌ-مُنْجِبٌ، ةٌ 	
(فا. من أَنْجَدَ)	مُنْجِدٌ-مُنْجِدٌ، ةٌ 	
