(مفع. مِن اِرْتَهَنَ)	مُرْتَهَنٌ-مُرْتَهَنٌ، ةٌ 
(مفع. مِن اِسْتَدَارَ)	مُسْتَدِيرٌ-مُسْتَدِيرٌ، ةٌ 
(مفع. مِن اِسْتَدَقَّ)	مُسْتَدَقٌّ-مُسْتَدَقٌّ ، ةٌ 
(مفع. مِن اِسْتَدَلَّ)	مُسْتَدَلٌّ-مُسْتَدَلٌّ، ةٌ 
(مفع. مِن اِسْتَرَقَّ)	مُسْتَرَقٌّ-مُسْتَرَقٌّ ، ةٌ 
(مفع. من اِسْتَسَاغَ)	مُسْتَسَاغٌ-مُسْتَسَاغٌ، ةٌ 
(مفع. مِن اِسْتَشَارَ)	مُسْتَشَارٌ-مُسْتَشَارٌ، ةٌ 
(مفع. مِنْ اِسْتَشْفَى)	مُسْتَشْفىً-مُسْتَشْفىً
(مفع. من اِسْتَطَاعَ)	مُسْتَطَاعٌ-مُسْتَطَاعٌ ، ةٌ 
(مفع. مِن اِسْتَعَارَ)	مُسْتَعَارٌ-مُسْتَعَارٌ، ةٌ 
(مفع. مِن اِسْتَعَانَ)	مُسْتَعَانٌ-مُسْتَعَانٌ ، ةٌ 
(مفع. مِن اِسْتَعْبَدَ)	مُسْتَعْبَدُ-مُسْتَعْبَدُ، ةٌ 
(مفع. مِن اِسْتَعْجَلَ)	مُسْتَعْجَلٌ-مُسْتَعْجَلٌ، ةٌ 
(مفع. مِن اِسْتَعْجَمَ)	مُسْتَعْجَمٌ-مُسْتَعْجَمٌ، ةٌ 
(مفع. مِن اِسْتَعْمَرَ).	مُسْتَعْمَرٌ-مُسْتَعْمَرٌ ، ةٌ 
(مفع. مِن اِسْتَعْمَلَ)	مُسْتَعْمَلٌ-مُسْتَعْمَلٌ، ةٌ 
(مفع. مِن اِسْتَغَلَّ)	مُسْتَغَلٌّ-مُسْتَغَلٌّ، ةٌ 
(مفع. من اِسْتَقْبَلَ) (الآتِي مِنَ الزَّمَانِ)	مُسْتَقْبَلٌ-مُسْتَقْبَلٌ ، ةٌ 
(مفع. من اِسْتَقَرَّ)	مُسْتَقَرٌّ-مُسْتَقَرٌّ ، ةٌ 
(مفع. مِن اِسْتَكْشَفَ)	مُسْتَكْشَفٌ-مُسْتَكْشَفٌ، ةٌ 
(مفع. مِن اِسْتَلَبَ)	مُسْتَلَبٌ-مُسْتَلَبٌ، ةٌ 
